id;master_category;subcategory;product_id;product_name;product_regular_price;product_regular_price_pln;product_promo_price;product_promo_price_pln;country;regular_price_diff_to_poland;promo_price_diff_to_poland;diff_regular_to_promo_price
0;SALE;COATS;7901653;FAUX FUR COAT;349.0;349.0;199.0;199.0;Poland;0.0;0.0;150.0
1;SALE;COATS;8208408;DOUBLE-BREASTED FAUX FUR COAT;349.0;349.0;229.0;229.0;Poland;0.0;0.0;120.0
2;SALE;COATS;6452680;FAUX FUR COAT;349.0;349.0;229.0;229.0;Poland;0.0;0.0;120.0
3;SALE;COATS;7905017;CHECK COAT WITH BELT;499.0;499.0;349.0;349.0;Poland;0.0;0.0;150.0
4;SALE;COATS;7896515;LOOSE-FITTING COAT;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
5;SALE;COATS;8208390;BUTTONED COAT;399.0;399.0;279.0;279.0;Poland;0.0;0.0;120.0
6;SALE;COATS;6451384;DOUBLE-BREASTED FAUX FUR COAT;249.0;249.0;199.0;199.0;Poland;0.0;0.0;50.0
7;SALE;COATS;6452598;FAUX FUR COAT;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
8;SALE;COATS;7612016;CHECK COAT;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
9;SALE;COATS;7546026;MASCULINE COAT;399.0;399.0;279.0;279.0;Poland;0.0;0.0;120.0
10;SALE;COATS;8208237;CABLE KNIT CARDIGAN;299.0;299.0;199.0;199.0;Poland;0.0;0.0;100.0
11;SALE;COATS;7726551;HOODED DOWN PARKA;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
12;SALE;COATS;8208383;QUILTED PARKA WITH HOOD;349.0;349.0;249.0;249.0;Poland;0.0;0.0;100.0
13;SALE;COATS;8290087;FAUX FUR JACKET;299.0;299.0;199.0;199.0;Poland;0.0;0.0;100.0
14;SALE;COATS;6453822;QUILTED PARKA WITH HOOD;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
15;SALE;COATS;7327587;LONG CARDIGAN WITH METALLIC THREAD;199.0;199.0;139.0;139.0;Poland;0.0;0.0;60.0
16;SALE;COATS;7971039;WOOL COAT WITH WRAPAROUND COLLAR;499.0;499.0;349.0;349.0;Poland;0.0;0.0;150.0
17;SALE;COATS;8181004;DOUBLE-BREASTED FAUX FUR COAT;249.0;249.0;199.0;199.0;Poland;0.0;0.0;50.0
18;SALE;COATS;8256532;FAUX FUR COAT;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
19;SALE;COATS;7061580;CONTRASTING TEXTURED FROCK COAT;399.0;399.0;249.0;249.0;Poland;0.0;0.0;150.0
20;SALE;COATS;7232643;CHECKED DOUBLE-BREASTED COAT;499.0;499.0;349.0;349.0;Poland;0.0;0.0;150.0
21;SALE;COATS;7192039;LEOPARD PRINT JACQUARD COAT;199.0;199.0;159.0;159.0;Poland;0.0;0.0;40.0
22;SALE;COATS;8046654;FAUX FUR JACKET;299.0;299.0;199.0;199.0;Poland;0.0;0.0;100.0
23;SALE;COATS;8290140;FAUX FUR COAT;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
24;SALE;COATS;7718565;BUTTONED COAT;399.0;399.0;279.0;279.0;Poland;0.0;0.0;120.0
25;SALE;COATS;8344503;QUILTED WATER-RESISTANT PARKA WITH HOOD;399.0;399.0;229.0;229.0;Poland;0.0;0.0;170.0
26;SALE;COATS;6454938;HOODED DOWN PARKA;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
27;SALE;COATS;8062784;FAUX FUR COAT;349.0;349.0;199.0;199.0;Poland;0.0;0.0;150.0
28;SALE;COATS;7770728;QUILTED PARKA WITH HOOD;349.0;349.0;249.0;249.0;Poland;0.0;0.0;100.0
29;SALE;COATS;7711036;COAT WITH POCKETS;399.0;399.0;279.0;279.0;Poland;0.0;0.0;120.0
30;SALE;COATS;6483699;SHORT TRENCH COAT;249.0;249.0;159.0;159.0;Poland;0.0;0.0;90.0
31;SALE;COATS;8208042;MASCULINE COAT;399.0;399.0;279.0;279.0;Poland;0.0;0.0;120.0
32;SALE;COATS;8208156;WATER-REPELLENT QUILTED PARKA;199.0;199.0;139.0;139.0;Poland;0.0;0.0;60.0
33;SALE;COATS;8208747;CABLE KNIT CARDIGAN;299.0;299.0;199.0;199.0;Poland;0.0;0.0;100.0
34;SALE;COATS;7735519;TEXTURED PUFFER RAINCOAT;349.0;349.0;199.0;199.0;Poland;0.0;0.0;150.0
35;SALE;COATS;7902520;DOUBLE-SIDED FAUX FUR COAT;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
36;SALE;COATS;7619511;LIMITED EDITION CARDIGAN WITH POCKETS;249.0;249.0;139.0;139.0;Poland;0.0;0.0;110.0
37;SALE;COATS;8344612;LIMITED EDITION CARDIGAN WITH POCKETS;249.0;249.0;139.0;139.0;Poland;0.0;0.0;110.0
38;SALE;COATS;8344059;CREASED-EFFECT TRENCH COAT;299.0;299.0;199.0;199.0;Poland;0.0;0.0;100.0
39;SALE;COATS;8347025;BUTTONED DOUBLE-BREASTED COAT;399.0;399.0;279.0;279.0;Poland;0.0;0.0;120.0
40;SALE;COATS;6452798;CAPE WITH FAUX FUR COLLAR;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
41;SALE;COATS;7971040;COAT WITH WRAP COLLAR;499.0;499.0;349.0;349.0;Poland;0.0;0.0;150.0
42;SALE;COATS;8046039;DOWN PUFFER COAT;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
43;SALE;COATS;7770830;WATER-REPELLENT QUILTED PARKA;199.0;199.0;139.0;139.0;Poland;0.0;0.0;60.0
44;SALE;COATS;6454954;QUILTED PARKA WITH HOOD;349.0;349.0;249.0;249.0;Poland;0.0;0.0;100.0
45;SALE;COATS;8046021;HIGH COLLAR PUFFER JACKET;349.0;349.0;249.0;249.0;Poland;0.0;0.0;100.0
46;SALE;COATS;6451173;SHORT PARKA;199.0;199.0;139.0;139.0;Poland;0.0;0.0;60.0
47;SALE;COATS;7896510;CONTRASTING TEXTURED FROCK COAT;399.0;399.0;249.0;249.0;Poland;0.0;0.0;150.0
48;SALE;COATS;8111475;SNAKESKIN PRINT PUFFER JACKET;249.0;249.0;159.0;159.0;Poland;0.0;0.0;90.0
49;SALE;COATS;7781001;SNAKESKIN PRINT PUFFER JACKET;249.0;249.0;159.0;159.0;Poland;0.0;0.0;90.0
50;SALE;COATS;8381541;TEXTURED LEOPARD PRINT COAT;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
51;SALE;COATS;8014234;TEXTURED LEOPARD PRINT COAT;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
52;SALE;COATS;8290659;CHECK COAT;399.0;399.0;279.0;279.0;Poland;0.0;0.0;120.0
53;SALE;COATS;8381596;CREASED-EFFECT TRENCH COAT;299.0;299.0;199.0;199.0;Poland;0.0;0.0;100.0
54;SALE;COATS;8344123;CHECK COAT;449.0;449.0;299.0;299.0;Poland;0.0;0.0;150.0
55;SALE;COATS;8380623;CHECK COAT WITH BELT;499.0;499.0;349.0;349.0;Poland;0.0;0.0;150.0
56;SALE;COATS;8290725;WATER-REPELLENT QUILTED PARKA;199.0;199.0;139.0;139.0;Poland;0.0;0.0;60.0
57;SALE;COATS;6451304;WATER-REPELLENT QUILTED PARKA;199.0;199.0;139.0;139.0;Poland;0.0;0.0;60.0
58;SALE;COATS;8437606;INVERTED LAPEL FROCK COAT;299.0;299.0;139.0;139.0;Poland;0.0;0.0;160.0
59;SALE;COATS;8437605;INVERTED LAPEL FROCK COAT;299.0;299.0;139.0;139.0;Poland;0.0;0.0;160.0
60;SALE;COATS;8344616;ANIMAL PRINT COAT;229.0;229.0;159.0;159.0;Poland;0.0;0.0;70.0
61;SALE;COATS;7767292;WATER-REPELLENT QUILTED PARKA;199.0;199.0;139.0;139.0;Poland;0.0;0.0;60.0
62;SALE;COATS;8344120;HERRINGBONE COAT;499.0;499.0;349.0;349.0;Poland;0.0;0.0;150.0
63;SALE;COATS;8344620;ROLL NECK CAPE;249.0;249.0;159.0;159.0;Poland;0.0;0.0;90.0
64;SALE;COATS;7250027;DOUBLE-BREASTED CORDUROY COAT;399.0;399.0;249.0;249.0;Poland;0.0;0.0;150.0
65;SALE;COATS;7605515;DOUBLE-BREASTED CORDUROY COAT;399.0;399.0;249.0;249.0;Poland;0.0;0.0;150.0
66;SALE;COATS;7749516;ANIMAL PRINT COAT;349.0;349.0;199.0;199.0;Poland;0.0;0.0;150.0
