;master_category; subcategory; product_id; product_name; product_regular_price; product_regular_price_pln; product_promo_price; product_promo_price_pln;country
0;SALE;COATS;7901653;FAUX FUR COAT;349;349;199;199;Poland
1;SALE;COATS;8208408;DOUBLE-BREASTED FAUX FUR COAT;349;349;229;229;Poland
2;SALE;COATS;6452680;FAUX FUR COAT;349;349;229;229;Poland
3;SALE;COATS;7905017;CHECK COAT WITH BELT;499;499;349;349;Poland
4;SALE;COATS;7896515;LOOSE-FITTING COAT;449;449;299;299;Poland
5;SALE;COATS;8208390;BUTTONED COAT;399;399;279;279;Poland
6;SALE;COATS;6451384;DOUBLE-BREASTED FAUX FUR COAT;249;249;199;199;Poland
7;SALE;COATS;6452598;FAUX FUR COAT;449;449;299;299;Poland
8;SALE;COATS;7612016;CHECK COAT;449;449;299;299;Poland
9;SALE;COATS;7546026;MASCULINE COAT;399;399;279;279;Poland
10;SALE;COATS;8208237;CABLE KNIT CARDIGAN;299;299;199;199;Poland
11;SALE;COATS;7726551;HOODED DOWN PARKA;449;449;299;299;Poland
12;SALE;COATS;8208383;QUILTED PARKA WITH HOOD;349;349;249;249;Poland
13;SALE;COATS;8290087;FAUX FUR JACKET;299;299;199;199;Poland
14;SALE;COATS;6453822;QUILTED PARKA WITH HOOD;449;449;299;299;Poland
15;SALE;COATS;7327587;LONG CARDIGAN WITH METALLIC THREAD;199;199;139;139;Poland
16;SALE;COATS;7971039;WOOL COAT WITH WRAPAROUND COLLAR;499;499;349;349;Poland
17;SALE;COATS;8181004;DOUBLE-BREASTED FAUX FUR COAT;249;249;199;199;Poland
18;SALE;COATS;8256532;FAUX FUR COAT;449;449;299;299;Poland
19;SALE;COATS;7061580;CONTRASTING TEXTURED FROCK COAT;399;399;249;249;Poland
20;SALE;COATS;7232643;CHECKED DOUBLE-BREASTED COAT;499;499;349;349;Poland
21;SALE;COATS;7192039;LEOPARD PRINT JACQUARD COAT;199;199;159;159;Poland
22;SALE;COATS;8046654;FAUX FUR JACKET;299;299;199;199;Poland
23;SALE;COATS;8290140;FAUX FUR COAT;449;449;299;299;Poland
24;SALE;COATS;7718565;BUTTONED COAT;399;399;279;279;Poland
25;SALE;COATS;8344503;QUILTED WATER-RESISTANT PARKA WITH HOOD;399;399;229;229;Poland
26;SALE;COATS;6454938;HOODED DOWN PARKA;449;449;299;299;Poland
27;SALE;COATS;8062784;FAUX FUR COAT;349;349;199;199;Poland
28;SALE;COATS;7770728;QUILTED PARKA WITH HOOD;349;349;249;249;Poland
29;SALE;COATS;7711036;COAT WITH POCKETS;399;399;279;279;Poland
30;SALE;COATS;6483699;SHORT TRENCH COAT;249;249;159;159;Poland
31;SALE;COATS;8208042;MASCULINE COAT;399;399;279;279;Poland
32;SALE;COATS;8208156;WATER-REPELLENT QUILTED PARKA;199;199;139;139;Poland
33;SALE;COATS;8208747;CABLE KNIT CARDIGAN;299;299;199;199;Poland
34;SALE;COATS;7735519;TEXTURED PUFFER RAINCOAT;349;349;199;199;Poland
35;SALE;COATS;7902520;DOUBLE-SIDED FAUX FUR COAT;449;449;299;299;Poland
36;SALE;COATS;7619511;LIMITED EDITION CARDIGAN WITH POCKETS;249;249;139;139;Poland
37;SALE;COATS;8344612;LIMITED EDITION CARDIGAN WITH POCKETS;249;249;139;139;Poland
38;SALE;COATS;8344059;CREASED-EFFECT TRENCH COAT;299;299;199;199;Poland
39;SALE;COATS;8347025;BUTTONED DOUBLE-BREASTED COAT;399;399;279;279;Poland
40;SALE;COATS;6452798;CAPE WITH FAUX FUR COLLAR;449;449;299;299;Poland
41;SALE;COATS;7971040;COAT WITH WRAP COLLAR;499;499;349;349;Poland
42;SALE;COATS;8046039;DOWN PUFFER COAT;449;449;299;299;Poland
43;SALE;COATS;7770830;WATER-REPELLENT QUILTED PARKA;199;199;139;139;Poland
44;SALE;COATS;6454954;QUILTED PARKA WITH HOOD;349;349;249;249;Poland
45;SALE;COATS;8046021;HIGH COLLAR PUFFER JACKET;349;349;249;249;Poland
46;SALE;COATS;6451173;SHORT PARKA;199;199;139;139;Poland
47;SALE;COATS;7896510;CONTRASTING TEXTURED FROCK COAT;399;399;249;249;Poland
48;SALE;COATS;8111475;SNAKESKIN PRINT PUFFER JACKET;249;249;159;159;Poland
49;SALE;COATS;7781001;SNAKESKIN PRINT PUFFER JACKET;249;249;159;159;Poland
50;SALE;COATS;8381541;TEXTURED LEOPARD PRINT COAT;449;449;299;299;Poland
51;SALE;COATS;8014234;TEXTURED LEOPARD PRINT COAT;449;449;299;299;Poland
52;SALE;COATS;8290659;CHECK COAT;399;399;279;279;Poland
53;SALE;COATS;8381596;CREASED-EFFECT TRENCH COAT;299;299;199;199;Poland
54;SALE;COATS;8344123;CHECK COAT;449;449;299;299;Poland
55;SALE;COATS;8380623;CHECK COAT WITH BELT;499;499;349;349;Poland
56;SALE;COATS;8290725;WATER-REPELLENT QUILTED PARKA;199;199;139;139;Poland
57;SALE;COATS;6451304;WATER-REPELLENT QUILTED PARKA;199;199;139;139;Poland
58;SALE;COATS;8437606;INVERTED LAPEL FROCK COAT;299;299;139;139;Poland
59;SALE;COATS;8437605;INVERTED LAPEL FROCK COAT;299;299;139;139;Poland
60;SALE;COATS;8344616;ANIMAL PRINT COAT;229;229;159;159;Poland
