;master_category; subcategory; product_id; product_name; product_regular_price; product_regular_price_pln; product_promo_price; product_promo_price_pln;country
0;SALE;STARTING FROM 60% OFF;6594030;ASYMMETRIC CHECKED TUNIC;2999;149,65;1199.0;59,83;Russia
1;SALE;STARTING FROM 60% OFF;6452215;CONTRASTING DOTTED MESH BLOUSE;2999;149,65;1199.0;59,83;Russia
2;SALE;STARTING FROM 60% OFF;6449419;BLOUSE WITH CROCHET BIB;2999;149,65;1199.0;59,83;Russia
3;SALE;STARTING FROM 60% OFF;6621707;CHECKED BLOUSE;2999;149,65;1199.0;59,83;Russia
4;SALE;STARTING FROM 60% OFF;6452169;TUNIC WITH CUTWORK EMBROIDERY;3999;199,55;1599.0;79,79;Russia
5;SALE;STARTING FROM 60% OFF;6594186;CHECK BLOUSE;2999;149,65;1199.0;59,83;Russia
6;SALE;STARTING FROM 60% OFF;6509597;GRAPHIC T-SHIRT;1299;64,82;499.0;24,9;Russia
7;SALE;STARTING FROM 60% OFF;6963563;CHECKED BLOUSE WITH RUFFLE TRIMS;2999;149,65;1199.0;59,83;Russia
8;SALE;STARTING FROM 60% OFF;6449847;FRILLED LACE SKIRT;5999;299,35;1999.0;99,75;Russia
9;SALE;STARTING FROM 60% OFF;7645536;ANIMAL PRINT BLOUSE;2999;149,65;1199.0;59,83;Russia
10;SALE;STARTING FROM 60% OFF;6850087;FLOWING SHIRT WITH POCKETS;2999;149,65;1199.0;59,83;Russia
11;SALE;STARTING FROM 60% OFF;7359533;LEOPARD PRINT SHIRT;3999;199,55;1599.0;79,79;Russia
12;SALE;STARTING FROM 60% OFF;6451988;CONTRAST VELVET TOP;2999;149,65;1199.0;59,83;Russia
13;SALE;STARTING FROM 60% OFF;7619557;PRINTED SHIRT;3999;199,55;1599.0;79,79;Russia
14;SALE;STARTING FROM 60% OFF;6454732;CAMISOLE TOP;2999;149,65;1199.0;59,83;Russia
15;SALE;STARTING FROM 60% OFF;7046030;ASYMMETRIC SATIN BLOUSE;3999;199,55;1599.0;79,79;Russia
16;SALE;STARTING FROM 60% OFF;6594018;T-SHIRT WITH CONTRASTING RIBBED TRIMS;1599;79,79;599.0;29,89;Russia
17;SALE;STARTING FROM 60% OFF;7259097;FLOWING SHIRT WITH DRAPED KNOT;2999;149,65;1199.0;59,83;Russia
18;SALE;STARTING FROM 60% OFF;7292550;ZW PREMIUM CAMOUFLAGE SHIRT;3999;199,55;1599.0;79,79;Russia
19;SALE;STARTING FROM 60% OFF;7346133;SHIRT ZW PREMIUM PUNK;3999;199,55;1599.0;79,79;Russia
20;SALE;STARTING FROM 60% OFF;6452664;OVERSIZED PATCHWORK SHIRT;2999;149,65;1199.0;59,83;Russia
21;SALE;STARTING FROM 60% OFF;7306613;SMINT® T-SHIRT;1799;89,77;599.0;29,89;Russia
22;SALE;STARTING FROM 60% OFF;6483635;BELTED BLOUSE WITH BUTTONS;2999;149,65;1199.0;59,83;Russia
23;SALE;STARTING FROM 60% OFF;7021059;CROPPED T-SHIRT WITH SLOGAN;1599;79,79;599.0;29,89;Russia
24;SALE;STARTING FROM 60% OFF;7378541;BUTTONED TOP;2999;149,65;1199.0;59,83;Russia
25;SALE;STARTING FROM 60% OFF;6469669;TULLE T-SHIRT WITH APPLIQUÉS;1799;89,77;599.0;29,89;Russia
26;SALE;STARTING FROM 60% OFF;6451281;TEXTURED LACE TOP;1799;89,77;599.0;29,89;Russia
27;SALE;STARTING FROM 60% OFF;6682560;CONTRASTING BIKER COAT;12999;648,65;4999.0;249,45;Russia
