;master_category; subcategory; product_id; product_name; product_regular_price; product_regular_price_pln; product_promo_price; product_promo_price_pln;country
0;SALE;COATS;6448992;STRIPED KIMONO;69,9;190,97;39,9;109,01;Singapore
1;SALE;COATS;6867509;TEXTURED PARKA;99,9;272,94;59,9;163,65;Singapore
2;SALE;COATS;8290087;FAUX FUR JACKET;139;379,76;99,9;272,94;Singapore
3;SALE;COATS;6450213;SEMI-SHEER RAINCOAT;99,9;272,94;59,9;163,65;Singapore
4;SALE;COATS;8046021;HIGH COLLAR PUFFER JACKET;159;434,4;99,9;272,94;Singapore
5;SALE;COATS;6452208;HIGH COLLAR PUFFER JACKET;159;434,4;99,9;272,94;Singapore
6;SALE;COATS;8046654;FAUX FUR JACKET;139;379,76;99,9;272,94;Singapore
7;SALE;COATS;7298005;LIGHTWEIGHT RAINCOAT;119;325,12;49,9;136,33;Singapore
8;SALE;COATS;6454037;LIGHTWEIGHT RAINCOAT;119;325,12;49,9;136,33;Singapore
9;SALE;COATS;6453817;PUFFER GILET;99,9;272,94;59,9;163,65;Singapore
10;SALE;COATS;7749516;ANIMAL PRINT COAT;159;434,4;99,9;272,94;Singapore
11;SALE;COATS;6452178;TEXTURED PUFFER RAINCOAT;159;434,4;99,9;272,94;Singapore
12;SALE;COATS;7735519;TEXTURED PUFFER RAINCOAT;159;434,4;99,9;272,94;Singapore
13;SALE;COATS;6449596;DOUBLE-BREASTED FAUX FUR COAT;159;434,4;69,9;190,97;Singapore
14;SALE;COATS;8208408;DOUBLE-BREASTED FAUX FUR COAT;159;434,4;69,9;190,97;Singapore
15;SALE;COATS;8290593;DOUBLE-BREASTED FAUX FUR COAT;159;434,4;69,9;190,97;Singapore
16;SALE;COATS;6453326;BOMBER STYLE COAT;139;379,76;69,9;190,97;Singapore
17;SALE;COATS;6449597;DOUBLE-BREASTED FAUX FUR COAT;159;434,4;69,9;190,97;Singapore
18;SALE;COATS;8208413;DOUBLE-BREASTED FAUX FUR COAT;159;434,4;69,9;190,97;Singapore
19;SALE;COATS;6888112;ZIP-UP COAT;159;434,4;99,9;272,94;Singapore
20;SALE;COATS;7435524;ZIP-UP COAT;159;434,4;99,9;272,94;Singapore
21;SALE;COATS;6450662;RUBBERISED RAINCOAT;99,9;272,94;69,9;190,97;Singapore
22;SALE;COATS;6448626;STRIPED TEXTURED WAISTCOAT;99,9;272,94;59,9;163,65;Singapore
23;SALE;COATS;6582527;ROLL NECK CAPE;119;325,12;59,9;163,65;Singapore
24;SALE;COATS;8344616;ANIMAL PRINT COAT;109;297,8;59,9;163,65;Singapore
25;SALE;COATS;7769006;ANIMAL PRINT COAT;109;297,8;59,9;163,65;Singapore
26;SALE;COATS;6454928;ZIP-UP DOWN PUFFER JACKET;139;379,76;99,9;272,94;Singapore
27;SALE;COATS;6454938;HOODED DOWN PARKA;199;543,69;139;379,76;Singapore
28;SALE;COATS;8437606;INVERTED LAPEL FROCK COAT;139;379,76;59,9;163,65;Singapore
29;SALE;COATS;7527508;INVERTED LAPEL FROCK COAT;139;379,76;59,9;163,65;Singapore
30;SALE;COATS;7767284;CHECKED DOUBLE-BREASTED TRENCH COAT;179;489,05;99,9;272,94;Singapore
31;SALE;COATS;7682241;CHECKED DOUBLE-BREASTED TRENCH COAT;179;489,05;99,9;272,94;Singapore
32;SALE;COATS;6453818;PUFFER GILET;99,9;272,94;59,9;163,65;Singapore
33;SALE;COATS;6682549;CREASED-EFFECT TRENCH COAT;139;379,76;99,9;272,94;Singapore
34;SALE;COATS;8381596;CREASED-EFFECT TRENCH COAT;139;379,76;99,9;272,94;Singapore
35;SALE;COATS;8344059;CREASED-EFFECT TRENCH COAT;139;379,76;99,9;272,94;Singapore
36;SALE;COATS;8181004;DOUBLE-BREASTED FAUX FUR COAT;199;543,69;139;379,76;Singapore
37;SALE;COATS;6469754;LONG WATER-RESISTANT PARKA;159;434,4;99,9;272,94;Singapore
38;SALE;COATS;6451384;DOUBLE-BREASTED FAUX FUR COAT;199;543,69;139;379,76;Singapore
39;SALE;COATS;6778056;SPECIAL GARMENT JACQUARD COAT;69,9;190,97;49,9;136,33;Singapore
40;SALE;COATS;6453385;LIGHTWEIGHT PARKA WITH TIES;99,9;272,94;59,9;163,65;Singapore
41;SALE;COATS;6483703;LEOPARD PRINT FAUX FUR VEST;119;325,12;59,9;163,65;Singapore
42;SALE;COATS;7770585;LEOPARD PRINT FAUX FUR VEST;119;325,12;59,9;163,65;Singapore
43;SALE;COATS;6452127;COAT WITH FAUX FUR CUFFS;199;543,69;139;379,76;Singapore
44;SALE;COATS;6452957;TEXTURED FROCK COAT WITH ZIPS;119;325,12;59,9;163,65;Singapore
45;SALE;COATS;7435766;CHECK COAT WITH TRIMS;199;543,69;139;379,76;Singapore
46;SALE;COATS;7770739;QUILTED PARKA WITH HOOD;159;434,4;99,9;272,94;Singapore
47;SALE;COATS;7554037;ANIMAL PRINT JACQUARD WAISTCOAT;69,9;190,97;49,9;136,33;Singapore
48;SALE;COATS;6455077;QUILTED PARKA WITH HOOD;159;434,4;99,9;272,94;Singapore
49;SALE;COATS;6662074;CHECK COAT WITH TRIMS;199;543,69;139;379,76;Singapore
50;SALE;COATS;7770728;QUILTED PARKA WITH HOOD;159;434,4;99,9;272,94;Singapore
51;SALE;COATS;7971503;ANIMAL PRINT JACQUARD WAISTCOAT;69,9;190,97;49,9;136,33;Singapore
52;SALE;COATS;7757651;QUILTED PARKA WITH HOOD;159;434,4;99,9;272,94;Singapore
53;SALE;COATS;7554057;FAUX FUR JACKET;119;325,12;69,9;190,97;Singapore
54;SALE;COATS;6448700;FAUX FUR COAT;199;543,69;139;379,76;Singapore
