;master_category; subcategory; product_id; product_name; product_regular_price; product_regular_price_pln; product_promo_price; product_promo_price_pln;country
0;SALE;COATS;6448992;STRIPED KIMONO;1990;229,85;1590.0;183,65;Thailand
1;SALE;COATS;6867509;TEXTURED PARKA;2590;299,15;1590.0;183,65;Thailand
2;SALE;COATS;8290087;FAUX FUR JACKET;3590;414,65;2990.0;345,35;Thailand
3;SALE;COATS;6450213;SEMI-SHEER RAINCOAT;2590;299,15;1590.0;183,65;Thailand
4;SALE;COATS;8046021;HIGH COLLAR PUFFER JACKET;3990;460,85;2990.0;345,35;Thailand
5;SALE;COATS;6452208;HIGH COLLAR PUFFER JACKET;3990;460,85;2990.0;345,35;Thailand
6;SALE;COATS;8046654;FAUX FUR JACKET;3590;414,65;2990.0;345,35;Thailand
7;SALE;COATS;7298005;LIGHTWEIGHT RAINCOAT;2990;345,35;1990.0;229,85;Thailand
8;SALE;COATS;6454037;LIGHTWEIGHT RAINCOAT;2990;345,35;1990.0;229,85;Thailand
9;SALE;COATS;6453817;PUFFER GILET;2590;299,15;1590.0;183,65;Thailand
10;SALE;COATS;7749516;ANIMAL PRINT COAT;3990;460,85;2290.0;264,5;Thailand
11;SALE;COATS;6452178;TEXTURED PUFFER RAINCOAT;3990;460,85;2290.0;264,5;Thailand
12;SALE;COATS;7735519;TEXTURED PUFFER RAINCOAT;3990;460,85;2290.0;264,5;Thailand
13;SALE;COATS;6449596;DOUBLE-BREASTED FAUX FUR COAT;3990;460,85;2290.0;264,5;Thailand
14;SALE;COATS;8208408;DOUBLE-BREASTED FAUX FUR COAT;3990;460,85;2290.0;264,5;Thailand
15;SALE;COATS;8290593;DOUBLE-BREASTED FAUX FUR COAT;3990;460,85;2290.0;264,5;Thailand
16;SALE;COATS;6453326;BOMBER STYLE COAT;3590;414,65;2290.0;264,5;Thailand
17;SALE;COATS;6449597;DOUBLE-BREASTED FAUX FUR COAT;3990;460,85;2290.0;264,5;Thailand
18;SALE;COATS;8208413;DOUBLE-BREASTED FAUX FUR COAT;3990;460,85;2290.0;264,5;Thailand
19;SALE;COATS;6888112;ZIP-UP COAT;3990;460,85;2990.0;345,35;Thailand
20;SALE;COATS;7435524;ZIP-UP COAT;3990;460,85;2990.0;345,35;Thailand
21;SALE;COATS;6450662;RUBBERISED RAINCOAT;2590;299,15;1590.0;183,65;Thailand
22;SALE;COATS;6448626;STRIPED TEXTURED WAISTCOAT;2590;299,15;1590.0;183,65;Thailand
23;SALE;COATS;6582527;ROLL NECK CAPE;2990;345,35;2290.0;264,5;Thailand
24;SALE;COATS;8344616;ANIMAL PRINT COAT;2790;322,25;1590.0;183,65;Thailand
25;SALE;COATS;7769006;ANIMAL PRINT COAT;2790;322,25;1590.0;183,65;Thailand
26;SALE;COATS;6454928;ZIP-UP DOWN PUFFER JACKET;3590;414,65;2290.0;264,5;Thailand
27;SALE;COATS;6454938;HOODED DOWN PARKA;4990;576,35;2990.0;345,35;Thailand
28;SALE;COATS;8437606;INVERTED LAPEL FROCK COAT;3590;414,65;2290.0;264,5;Thailand
29;SALE;COATS;7527508;INVERTED LAPEL FROCK COAT;3590;414,65;2290.0;264,5;Thailand
30;SALE;COATS;7767284;CHECKED DOUBLE-BREASTED TRENCH COAT;4590;530,15;2990.0;345,35;Thailand
31;SALE;COATS;7682241;CHECKED DOUBLE-BREASTED TRENCH COAT;4590;530,15;2990.0;345,35;Thailand
32;SALE;COATS;6453818;PUFFER GILET;2590;299,15;1590.0;183,65;Thailand
33;SALE;COATS;6682549;CREASED-EFFECT TRENCH COAT;3590;414,65;2290.0;264,5;Thailand
34;SALE;COATS;8381596;CREASED-EFFECT TRENCH COAT;3590;414,65;2290.0;264,5;Thailand
35;SALE;COATS;8344059;CREASED-EFFECT TRENCH COAT;3590;414,65;2290.0;264,5;Thailand
36;SALE;COATS;8181004;DOUBLE-BREASTED FAUX FUR COAT;2990;345,35;1990.0;229,85;Thailand
37;SALE;COATS;6469754;LONG WATER-RESISTANT PARKA;3990;460,85;2290.0;264,5;Thailand
38;SALE;COATS;6451384;DOUBLE-BREASTED FAUX FUR COAT;2990;345,35;1990.0;229,85;Thailand
39;SALE;COATS;6778056;SPECIAL GARMENT JACQUARD COAT;1990;229,85;1590.0;183,65;Thailand
40;SALE;COATS;6453385;LIGHTWEIGHT PARKA WITH TIES;2590;299,15;1590.0;183,65;Thailand
41;SALE;COATS;6483703;LEOPARD PRINT FAUX FUR VEST;2990;345,35;2290.0;264,5;Thailand
42;SALE;COATS;7770585;LEOPARD PRINT FAUX FUR VEST;2990;345,35;2290.0;264,5;Thailand
43;SALE;COATS;6452127;COAT WITH FAUX FUR CUFFS;4990;576,35;2990.0;345,35;Thailand
44;SALE;COATS;6452957;TEXTURED FROCK COAT WITH ZIPS;2990;345,35;2290.0;264,5;Thailand
45;SALE;COATS;7435766;CHECK COAT WITH TRIMS;4990;576,35;2990.0;345,35;Thailand
46;SALE;COATS;7770739;QUILTED PARKA WITH HOOD;3990;460,85;2990.0;345,35;Thailand
47;SALE;COATS;7554037;ANIMAL PRINT JACQUARD WAISTCOAT;1990;229,85;1590.0;183,65;Thailand
48;SALE;COATS;6455077;QUILTED PARKA WITH HOOD;3990;460,85;2990.0;345,35;Thailand
49;SALE;COATS;6662074;CHECK COAT WITH TRIMS;4990;576,35;2990.0;345,35;Thailand
50;SALE;COATS;7770728;QUILTED PARKA WITH HOOD;3990;460,85;2990.0;345,35;Thailand
51;SALE;COATS;7971503;ANIMAL PRINT JACQUARD WAISTCOAT;1990;229,85;1590.0;183,65;Thailand
52;SALE;COATS;7757651;QUILTED PARKA WITH HOOD;3990;460,85;2990.0;345,35;Thailand
53;SALE;COATS;7554057;FAUX FUR JACKET;2990;345,35;2290.0;264,5;Thailand
54;SALE;COATS;6448700;FAUX FUR COAT;4990;576,35;2990.0;345,35;Thailand
55;SALE;COATS;7137028;CONTRAST COLOUR BLOCK RAINCOAT;2290;264,5;1590.0;183,65;Thailand
56;SALE;COATS;7436187;CONTRAST COLOUR BLOCK RAINCOAT;2290;264,5;1590.0;183,65;Thailand
57;SALE;COATS;6450677;OVERSIZED PARKA;3990;460,85;2290.0;264,5;Thailand
58;SALE;COATS;6561610;FAUX SUEDE HERRINGBONE COAT;2590;299,15;1590.0;183,65;Thailand
59;SALE;COATS;6918576;LEOPARD PRINT JACQUARD COAT;4590;530,15;2990.0;345,35;Thailand
60;SALE;COATS;6682644;LIGHTWEIGHT PARKA;2990;345,35;2290.0;264,5;Thailand
61;SALE;COATS;7711036;COAT WITH POCKETS;4590;530,15;3290.0;380;Thailand
62;SALE;COATS;6449919;QUILTED WATER-RESISTANT COAT;2990;345,35;2290.0;264,5;Thailand
63;SALE;COATS;8158978;COAT WITH POCKETS;4590;530,15;3290.0;380;Thailand
