;master_category; subcategory; product_id; product_name; product_regular_price; product_regular_price_pln; product_promo_price; product_promo_price_pln;country
0;SALE;COATS;8344616;ANIMAL PRINT COAT;55,95;240,04;39,99;171,57;Zimbabwe
1;SALE;COATS;8344125;CONTRAST COAT WITH WRAPAROUND COLLAR;149;639,25;99,99;428,99;Zimbabwe
2;SALE;COATS;8344120;HERRINGBONE COAT;129;553,45;99,99;428,99;Zimbabwe
3;SALE;COATS;8344620;ROLL NECK CAPE;59,95;257,2;39,99;171,57;Zimbabwe
4;SALE;COATS;8344123;CHECK COAT;99,95;428,82;69,99;300,28;Zimbabwe
5;SALE;COATS;7682275;MASCULINE HERRINGBONE COAT;99,95;428,82;69,99;300,28;Zimbabwe
6;SALE;COATS;7435766;CHECK COAT WITH TRIMS;99,95;428,82;69,99;300,28;Zimbabwe
7;SALE;COATS;8381596;CREASED-EFFECT TRENCH COAT;69,95;300,11;49,99;214,47;Zimbabwe
8;SALE;COATS;8380623;CHECK COAT WITH BELT;129;553,45;99,99;428,99;Zimbabwe
9;SALE;COATS;8046039;DOWN PUFFER COAT;99,95;428,82;69,99;300,28;Zimbabwe
10;SALE;COATS;6888112;ZIP-UP COAT;79,95;343,01;59,99;257,38;Zimbabwe
11;SALE;COATS;6452178;TEXTURED PUFFER RAINCOAT;79,95;343,01;59,99;257,38;Zimbabwe
12;SALE;COATS;7711036;COAT WITH POCKETS;89,95;385,91;59,99;257,38;Zimbabwe
13;SALE;COATS;6449579;HOODED DOWN PUFFER JACKET;69,95;300,11;49,99;214,47;Zimbabwe
14;SALE;COATS;7404647;SHORT COAT WITH STRIPES;99,95;428,82;69,99;300,28;Zimbabwe
15;SALE;COATS;7749516;ANIMAL PRINT COAT;79,95;343,01;59,99;257,38;Zimbabwe
16;SALE;COATS;7546026;MASCULINE COAT;89,95;385,91;59,99;257,38;Zimbabwe
17;SALE;COATS;6454037;LIGHTWEIGHT RAINCOAT;59,95;257,2;39,99;171,57;Zimbabwe
18;SALE;COATS;8208042;MASCULINE COAT;89,95;385,91;59,99;257,38;Zimbabwe
19;SALE;COATS;8290725;WATER-REPELLENT QUILTED PARKA;79,95;343,01;59,99;257,38;Zimbabwe
20;SALE;COATS;6451304;WATER-REPELLENT QUILTED PARKA;79,95;343,01;59,99;257,38;Zimbabwe
21;SALE;COATS;6455077;QUILTED PARKA WITH HOOD;79,95;343,01;59,99;257,38;Zimbabwe
22;SALE;COATS;7781001;SNAKESKIN PRINT PUFFER JACKET;59,95;257,2;39,99;171,57;Zimbabwe
23;SALE;COATS;7770830;WATER-REPELLENT QUILTED PARKA;79,95;343,01;59,99;257,38;Zimbabwe
24;SALE;COATS;6454938;HOODED DOWN PARKA;99,95;428,82;69,99;300,28;Zimbabwe
25;SALE;COATS;8046021;HIGH COLLAR PUFFER JACKET;79,95;343,01;59,99;257,38;Zimbabwe
26;SALE;COATS;8437605;INVERTED LAPEL FROCK COAT;69,95;300,11;49,99;214,47;Zimbabwe
27;SALE;COATS;8437606;INVERTED LAPEL FROCK COAT;69,95;300,11;49,99;214,47;Zimbabwe
28;SALE;COATS;8256532;FAUX FUR COAT;99,95;428,82;69,99;300,28;Zimbabwe
29;SALE;COATS;8208390;BUTTONED COAT;89,95;385,91;59,99;257,38;Zimbabwe
30;SALE;COATS;7902520;DOUBLE-SIDED FAUX FUR COAT;99,95;428,82;69,99;300,28;Zimbabwe
31;SALE;COATS;8046654;FAUX FUR JACKET;69,95;300,11;49,99;214,47;Zimbabwe
32;SALE;COATS;8290140;FAUX FUR COAT;99,95;428,82;69,99;300,28;Zimbabwe
33;SALE;COATS;8290659;CHECK COAT;89,95;385,91;59,99;257,38;Zimbabwe
34;SALE;COATS;8208241;FAUX FUR COAT;129;553,45;99,99;428,99;Zimbabwe
35;SALE;COATS;6452598;FAUX FUR COAT;99,95;428,82;69,99;300,28;Zimbabwe
36;SALE;COATS;8208237;CABLE KNIT CARDIGAN;69,95;300,11;49,99;214,47;Zimbabwe
37;SALE;COATS;8208747;CABLE KNIT CARDIGAN;69,95;300,11;49,99;214,47;Zimbabwe
38;SALE;COATS;8290087;FAUX FUR JACKET;69,95;300,11;49,99;214,47;Zimbabwe
39;SALE;COATS;7094608;FAUX FUR COAT;129;553,45;99,99;428,99;Zimbabwe
40;SALE;COATS;8208383;QUILTED PARKA WITH HOOD;79,95;343,01;59,99;257,38;Zimbabwe
41;SALE;COATS;7905017;CHECK COAT WITH BELT;129;553,45;99,99;428,99;Zimbabwe
42;SALE;COATS;7619511;LIMITED EDITION CARDIGAN WITH POCKETS;59,95;257,2;39,99;171,57;Zimbabwe
43;SALE;COATS;8344612;LIMITED EDITION CARDIGAN WITH POCKETS;59,95;257,2;39,99;171,57;Zimbabwe
44;SALE;COATS;8344057;FAUX FUR COAT;89,95;385,91;59,99;257,38;Zimbabwe
45;SALE;COATS;7127096;KNIT CAPE WITH HOOD;59,95;257,2;39,99;171,57;Zimbabwe
46;SALE;COATS;8344059;CREASED-EFFECT TRENCH COAT;69,95;300,11;49,99;214,47;Zimbabwe
47;SALE;COATS;7192039;LEOPARD PRINT JACQUARD COAT;69,95;300,11;49,99;214,47;Zimbabwe
48;SALE;COATS;7971040;COAT WITH WRAP COLLAR;129;553,45;99,99;428,99;Zimbabwe
49;SALE;COATS;7971371;BUTTONED COAT;99,95;428,82;69,99;300,28;Zimbabwe
50;SALE;COATS;7971019;BUTTONED COAT;99,95;428,82;69,99;300,28;Zimbabwe
51;SALE;COATS;6454954;QUILTED PARKA WITH HOOD;79,95;343,01;59,99;257,38;Zimbabwe
52;SALE;COATS;6451173;SHORT PARKA;79,95;343,01;59,99;257,38;Zimbabwe
53;SALE;COATS;7896510;CONTRASTING TEXTURED FROCK COAT;89,95;385,91;69,99;300,28;Zimbabwe
54;SALE;COATS;7250027;DOUBLE-BREASTED CORDUROY COAT;89,95;385,91;69,99;300,28;Zimbabwe
55;SALE;COATS;7605515;DOUBLE-BREASTED CORDUROY COAT;89,95;385,91;69,99;300,28;Zimbabwe
56;SALE;COATS;7971039;WOOL COAT WITH WRAPAROUND COLLAR;129;553,45;99,99;428,99;Zimbabwe
57;SALE;COATS;8208238;KNIT CAPE WITH HOOD;59,95;257,2;39,99;171,57;Zimbabwe
58;SALE;COATS;7061580;CONTRASTING TEXTURED FROCK COAT;89,95;385,91;69,99;300,28;Zimbabwe
59;SALE;COATS;7232643;CHECKED DOUBLE-BREASTED COAT;129;553,45;99,99;428,99;Zimbabwe
60;SALE;COATS;8111475;SNAKESKIN PRINT PUFFER JACKET;59,95;257,2;39,99;171,57;Zimbabwe
61;SALE;COATS;6454006;CONTRAST CHECK PARKA;129;553,45;99,99;428,99;Zimbabwe
62;SALE;COATS;6483699;SHORT TRENCH COAT;59,95;257,2;39,99;171,57;Zimbabwe
63;SALE;COATS;7749571;TEXTURED BUTTON-UP COAT;79,95;343,01;59,99;257,38;Zimbabwe
64;SALE;COATS;7971021;HERRINGBONE COAT;129;553,45;99,99;428,99;Zimbabwe
65;SALE;COATS;8208899;CONTRAST COAT WITH WRAPAROUND COLLAR;149;639,25;99,99;428,99;Zimbabwe
66;SALE;COATS;7564542;CONTRAST COAT WITH WRAPAROUND COLLAR;149;639,25;99,99;428,99;Zimbabwe
67;SALE;COATS;8062784;FAUX FUR COAT;79,95;343,01;59,99;257,38;Zimbabwe
68;SALE;COATS;6451863;COAT WITH WRAP COLLAR;129;553,45;99,99;428,99;Zimbabwe
69;SALE;COATS;8156989;CORDUROY OVERSHIRT WITH POCKETS;49,95;214,3;35,99;154,41;Zimbabwe
